id,x,y,z,vx,vy,vz,mass,sfr,half_mass_rad,fof_group,mostbound_id
8009,586.4434814453125,24947.8046875,17105.728515625,46.62482833862305,887.267333984375,984.0021362304688,0.03134560585021973,0.0,3.22131609916687,0,5750296122
1632,439.08868408203125,25488.52734375,17085.697265625,10.72986125946045,-591.6580810546875,-126.13497924804688,0.24546541273593903,0.0,5.646450519561768,0,5709917633
11762,312.12481689453125,24245.982421875,16631.43359375,-291.0429992675781,915.7845458984375,571.8853149414062,0.018200675025582314,0.0,2.363842725753784,0,5807228121
10835,844.95166015625,26500.892578125,19053.42578125,-305.7677001953125,539.3082275390625,895.4180297851562,0.020222971215844154,0.0,2.284512758255005,0,584450052
6945,1349.6619873046875,26403.5390625,18401.3046875,-1328.755615234375,463.233154296875,-831.4373168945312,0.03791807219386101,0.0,2.5083487033843994,0,6007978933
16168,183.1995849609375,26303.29296875,16499.697265625,265.50555419921875,-424.94482421875,847.208740234375,0.011122634634375572,0.0,1.1744295358657837,0,5520940433
10110,132.59869384765625,27159.126953125,17294.751953125,-127.70061492919922,-119.8432388305664,1301.5010986328125,0.022245269268751144,0.0,1.5862330198287964,0,382967032
14582,906.893310546875,26282.6953125,18516.03515625,-399.3282775878906,-1469.0670166015625,1504.6846923828125,0.012639357708394527,0.0,1.3596627712249756,0,544813842
123,66.07637023925781,24270.322265625,16935.634765625,866.7251586914062,1002.6116333007812,385.7298889160156,8.61577033996582,0.2638607919216156,14.959400177001953,0,114972014941
8948,688.4169921875,24720.427734375,16931.111328125,-515.1556396484375,983.1119995117188,278.6150817871094,0.026795437559485435,0.0,4.596621990203857,0,583767222
10108,1210.4925537109375,25823.630859375,18113.244140625,-676.9439697265625,-604.8609008789062,-1537.0009765625,0.022245269268751144,0.0,2.481738805770874,0,5802839844
10713,175.6999053955078,24607.12109375,16749.966796875,-517.6464233398438,462.093505859375,1325.7757568359375,0.020728545263409615,0.0,1.9781690835952759,0,5787220421
5351,1134.0699462890625,25801.458984375,17603.458984375,-896.8792724609375,-296.5235290527344,-866.8116455078125,0.05409644916653633,0.0,4.148547649383545,0,5964730944
